$:	-1.5	0.80623	[-1, -1, -1, -1, -3, -1, -3, -1, -2, -1]
%)	-0.4	1.0198	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
%-)	-1.5	1.43178	[-2, 0, -2, -2, -1, 2, -2, -3, -2, -3]
(':	2.3	0.9	[1, 3, 3, 2, 2, 4, 2, 3, 1, 2]
(-:	1.6	0.8	[2, 2, 1, 3, 1, 1, 1, 3, 1, 1]
):	-1.8	0.87178	[-1, -3, -1, -2, -1, -3, -1, -3, -1, -2]
:)	2.0	0.8	[2, 2, 1, 3, 2, 2, 2, 3, 1, 2]
:(	-2.0	0.8	[-2, -2, -1, -3, -2, -2, -2, -3, -1, -2]
:D	3.0	0.8	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
:'(	-2.5	0.8	[-3, -2, -2, -3, -2, -2, -3, -3, -2, -2]
bagus	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
baik	1.8	0.5	[2, 2, 2, 2, 2, 1, 1, 2, 2, 2]
bahagia	3.0	0.5	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
senang	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
gembira	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
suka	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
cinta	3.0	0.5	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
sayang	2.8	0.5	[3, 3, 3, 3, 2, 3, 3, 3, 2, 3]
hebat	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
keren	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
mantap	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
luar biasa	3.0	0.5	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
sempurna	3.0	0.5	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
cantik	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
ganteng	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
tampan	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
indah	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
sukses	2.8	0.5	[3, 3, 3, 3, 2, 3, 3, 3, 2, 3]
berhasil	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
menang	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
juara	3.0	0.5	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
pintar	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
cerdas	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
buruk	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
jelek	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
jahat	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
sedih	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
kecewa	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
marah	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
kesal	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
benci	-3.0	0.5	[-3, -3, -3, -3, -3, -3, -3, -3, -3, -3]
jijik	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
menjijikkan	-3.0	0.5	[-3, -3, -3, -3, -3, -3, -3, -3, -3, -3]
bodoh	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
tolol	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
idiot	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
gagal	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
kalah	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
rugi	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
hancur	-3.0	0.5	[-3, -3, -3, -3, -3, -3, -3, -3, -3, -3]
rusak	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
sakit	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
mati	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
gokil	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
mantul	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
asik	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
asyik	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
cakep	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
kece	2.0	0.5	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
jos	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
top	2.5	0.5	[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]
oke	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
sip	1.5	0.5	[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]
kampret	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
anjir	-2.0	0.5	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
anjing	-2.5	0.5	[-3, -2, -3, -2, -3, -2, -3, -2, -3, -2]
